;translation table;;Note / English / adi220_normal / approved;English / adi220_normal / approved;;;Locked / English / adi220_normal / approved;#Modified / English / adi220_normal / approved;German / adi220_normal / approved;;;Locked / German / adi220_normal / approved;#Modified / German / adi220_normal / approved;Czech / adi220_normal / approved;;;Locked / Czech / adi220_normal / approved;#Modified / Czech / adi220_normal / approved;French / adi220_normal / approved;;;Locked / French / adi220_normal / approved;#Modified / French / adi220_normal / approved;Italian / adi220_normal / approved;;;Locked / Italian / adi220_normal / approved;#Modified / Italian / adi220_normal / approved;Portuguese / adi220_normal / approved;;;Locked / Portuguese / adi220_normal / approved;#Modified / Portuguese / adi220_normal / approved;Spanish / adi220_normal / approved;;;Locked / Spanish / adi220_normal / approved;#Modified / Spanish / adi220_normal / approved;Locked / adi220_normal;Layout / adi220_normal;Status / adi220_normal;Comment / adi220_normal;Function;Coordinator;#File;Comment;Status;;
gültig?;Bezeichner;;Screen-Nr.:;English;Display;Überlänge;;;German;Display;Überlänge;;;Czech;Display;Überlänge;;;French;Display;Überlänge;;;Italian;Display;Überlänge;;;Portuguese;Display;Überlänge;;;Spanish;Display;Überlänge;;;;Layout;;;;;;;;Russian;CAN-
;Bezeichner;;Screen-Nr.:;US-English;Display;Überlänge;;;German;Display;Überlänge;;;Russian;Display;Überlänge;;;CAN-French;MISSING LAYOUT !;X;;;Dutch;Display;Überlänge;;;;MISSING LAYOUT !;X;;;Mex-Spanish;MISSING LAYOUT !;X;;;;Layout;;;;;;;;;
;qtn_stp_ta_checkbox_save_pin;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_query_enter_name;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_query_user_name;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_sms_save;;S422;As template;As template;0;Not locked;24.01.2006 11:23;Als Vorlage;Als Vorlage;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Como plantilla;Como plantilla;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_supp_error;;SB36;Request\nerror;"Request
error";0;Not locked;24.01.2006 11:23;Anfrage\nfehlgeschlagen;"Anfrage
fehlgeschlagen";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Error en la solicitud;"Error en la
solicitud";0;Not locked;09.02.2005 12:21;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_stack_received;S201;S201;Received calls;Received calls;0;Not locked;24.01.2006 11:19;Angen. Anrufe;Angen. Anrufe;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;Llam. recibidas;Llam. recibidas;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_note_bt_passkey_err;S521;S521;Authorization failed;"Authorization
failed";0;Not locked;24.01.2006 11:22;Anmeldung\nnicht\nmöglich;"Anmeldung
nicht
möglich";0;Not locked;13.04.2005 18:08;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Acceso denegado;"Acceso
denegado";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_call_accept;S901;S901;Answer;Answer;0;Not locked;24.01.2006 11:22;Annehmen;Annehmen;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Responder;Responder;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_menu_accept;;;Answer;Answer;0;Not locked;10.05.2002 13:49;Annehmen;Annehmen;0;Not locked;10.05.2002 13:58;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:40;;EMPTY !;X;Not locked;10.06.2002 14:40;Responder;Responder;0;Not locked;10.06.2002 14:41;Not locked;Auswahl;Approved;§Choice item: to answer a call when your phone is ringing;STP;Voellinger Stefanie;;Created for Seti;Proposed
;qtn_stp_ta_menu_activate;;;Unhold;Unhold;0;Not locked;10.05.2002 13:49;Annehmen;Annehmen;0;Not locked;10.05.2002 13:58;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:40;;EMPTY !;X;Not locked;10.06.2002 14:40;Activar;Activar;0;Not locked;10.06.2002 14:41;Not locked;Auswahl;Approved;§Choice item: to switch to the call you put on hold;STP;Voellinger Stefanie;;Created for Seti;Proposed
1;qtn_stp_ta_stack_missed;S201;S201;Missed calls;Missed calls;0;Not locked;24.01.2006 11:24;Anr. in Abwes.;Anr. in Abwes.;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;Llam. perdidas;Llam. perdidas;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_head_call;S941;S941;Call;Call;0;Not locked;24.01.2006 11:21;Anruf;Anruf;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Llamada;Llamada;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_head_incoming_call;S901;;Call;Call;0;Not locked;26.10.2004 16:40;Anruf;Anruf;0;Not locked;10.05.2002 13:58;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;20.12.2002 14:15;;EMPTY !;X;Not locked;20.12.2002 14:19;Llam. entrante;Llam. entrante;0;Not locked;20.12.2002 14:21;Not locked;1_Zeile;Approved;§Header: shown when someone is calling you. The following line is either empty or a name or number is shown.;STP;Voellinger Stefanie;;Created for Seti;Proposed
1;qtn_stp_ta_call_call1;S812;S812;Call 1;Call 1;0;Not locked;24.01.2006 11:23;Anruf 1;Anruf 1;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Llamada 1;Llamada 1;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed
1;qtn_stp_ta_head_call1;S813;S813;Call 1;Call 1;0;Not locked;24.01.2006 11:23;Anruf 1;Anruf 1;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Llamada 1;Llamada 1;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_call_call2;S813;S813;Call 2;Call 2;0;Not locked;24.01.2006 11:23;Anruf 2;Anruf 2;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Llamada 2;Llamada 2;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed
1;qtn_stp_ta_head_call2;S812;S812;Call 2;Call 2;0;Not locked;24.01.2006 11:17;Anruf 2;Anruf 2;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Llamada 2;Llamada 2;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;;S811;S811;End call;End call;0;;;Anruf beenden;Anruf beenden;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Colgar;Colgar;0;;;;Auswahl;;;;;;;
1;qtn_stp_ta_head_call_hold;S811;S811;Call on hold:;Call on hold:;0;Not locked;24.01.2006 11:21;Anruf gehalten:;Anruf gehalten:;0;Not locked;19.07.2004 12:30;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;06.12.2002 12:35;;EMPTY !;X;Not locked;09.02.2005 12:19;Llamada reten.;Llamada reten.;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;§Header: shown when you put a call on hold. In the following line a name or phone number is displayed, or the following row remains empty;STP;Voellinger Stefanie;;Created for Seti;Proposed
1;qtn_stp_ta_note_missed_call;S904;S904;Missed call;Missed call;0;Not locked;24.01.2006 11:21;Anruf in\nAbwesenheit;"Anruf in
Abwesenheit";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Llamadas perdidas;"Llamadas
perdidas";0;Not locked;09.02.2005 12:20;Not locked;2_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_head_call_waiting;S902;S902;Call waiting;Call waiting;0;Not locked;24.01.2006 11:23;Anruf klopft an;Anruf klopft an;0;Not locked;10.05.2002 13:58;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Llam. en espera;Llam. en espera;0;Not locked;20.12.2002 14:21;Not locked;1_Zeile;Approved;§Header: When you have activated the call waiting service this text is displayed when you get another call while you are talking to someone on the phone. In the next row a name or number is shown, or the row remains empty.;STP;Voellinger Stefanie;;Created for Seti;Proposed
1;;SC24;SC24;Calls;Calls;0;;;Anrufe;Anrufe;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Llamadas;Llamadas;0;;;;1_Zeile;;;;;;;
1;qtn_stp_ta_menu_call;"S111; S212";"S111; S212; S302; S303";Call;Call;0;Not locked;10.05.2002 13:49;Anrufen;Anrufen;0;Not locked;10.05.2002 13:58;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:40;;EMPTY !;X;Not locked;10.06.2002 14:40;Llamar;Llamar;0;Not locked;10.06.2002 14:41;Not locked;Auswahl;Approved;§Choice item: for calling a number from the phonebook or  the list of last dialled numbers;STP;Voellinger Stefanie;;Created for Seti;Proposed
;qtn_stp_ta_vcal_callto;;S999;Call;Call;0;Not locked;24.01.2006 11:23;Anrufen;Anrufen;0;Not locked;16.03.2005 20:00;;EMPTY !;X;Not locked;16.03.2005 20:00;;EMPTY !;X;Not locked;16.03.2005 20:00;;EMPTY !;X;Not locked;16.03.2005 20:00;;EMPTY !;X;Not locked;16.03.2005 20:00;Llamar a;Llamar a;0;Not locked;16.03.2005 20:00;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_main_callstacks;"S101; S811";"S101; S811";Call history;Call history;0;Not locked;24.01.2006 11:24;Anruflisten;Anruflisten;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;07.03.2005 18:34;;EMPTY !;X;Not locked;12.01.2005 11:29;Reg. llamadas;Reg. llamadas;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_call_head_register;S201;S201;Call history;Call history;0;Not locked;24.01.2006 11:24;Anruflisten;Anruflisten;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;07.03.2005 18:34;;EMPTY !;X;Not locked;12.01.2005 11:29;Reg. llamadas;Reg. llamadas;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;;;;;;;
1;qtn_stp_ta_note_stacks_cleared;S203;S203;Call history\ndeleted;"Call history
deleted";0;Not locked;24.01.2006 11:22;Anruflisten\ngelöscht;"Anruflisten
gelöscht";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Registro de llamadas borrado.;"Registro de
llamadas
borrado.";0;Not locked;09.02.2005 12:21;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_head_nametag;S117;S117;Voice tag;Voice tag;0;Not locked;24.01.2006 11:19;Anrufname;Anrufname;0;Not locked;06.09.2004 16:22;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Nombre por voz;Nombre por voz;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed
1;qtn_stp_ta_pb_nametag;"S105; S641";"S105; S641";Voice tag;Voice tag;0;Not locked;24.01.2006 11:18;Anrufname;Anrufname;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;10.08.2005 14:57;Nombre por voz;Nombre por voz;0;Not locked;10.08.2005 14:57;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_tag_deleted;;S114;Voice tag deleted;"Voice tag
deleted";0;Not locked;24.01.2006 11:22;Anrufname gelöscht;"Anrufname
gelöscht";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;24.01.2006 11:17;;EMPTY !;X;Not locked;06.07.2005 15:34;;EMPTY !;X;Not locked;09.02.2005 12:21;Nombre\nborrado;"Nombre
borrado";0;Not locked;10.08.2005 14:57;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;;SC16;SC16;Read out\nvoice tag:;"Read out
voice tag:";0;;;Anrufname\nansagen:;"Anrufname
ansagen:";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Reproducir nombre:;"Reproducir
nombre:";0;;;;2_Zeile;;;;;;;
1;;S114;S114;Voice tag reset;Voice tag reset;0;;;Anrufname\nzurückgesetzt;"Anrufname
zurückgesetzt";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Nombre anulado;Nombre anulado;0;;;;2_Zeile;;;;;;;
1;;S115;S115;Reset voice tag?;Reset voice tag?;0;;;Anrufname\nzurücksetzen?;"Anrufname
zurücksetzen?";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;¿Anular nombre?;"¿Anular
nombre?";0;;;;2_Zeile;;;;;;;
;qtn_stp_ta_query_delete_tag;;S115;Delete\nvoice tag?;"Delete
voice tag?";0;Not locked;24.01.2006 11:23;Anrufnamen löschen?;"Anrufnamen
löschen?";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;¿Borrar nombre?;¿Borrar nombre?;0;Not locked;09.02.2005 13:23;Not locked;2_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_barr_active;;SB23;Call barring active;"Call barring
active";0;Not locked;24.01.2006 11:19;Anrufsperre\naktiviert;"Anrufsperre
aktiviert";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;16.03.2005 20:05;Bloqueo de llamadas activo;"Bloqueo de
llamadas activo";0;Not locked;09.02.2005 12:19;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_barr_inactive;;SB22;Call barring deactivated;"Call barring
deactivated";0;Not locked;24.01.2006 11:20;Anrufsperre\ndeaktiviert;"Anrufsperre
deaktiviert";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;16.03.2005 20:05;Bloqueo de llamadas desactivado;"Bloqueo de
llamadas
desactivado";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_stack_time;;S212;Call time;Call time;0;Not locked;24.01.2006 11:18;Anrufzeit;Anrufzeit;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;Hora de llam.;Hora de llam.;0;Not locked;10.08.2005 14:57;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_menu_show;S904;S904;Show;Show;0;Not locked;24.01.2006 11:19;Ansehen;Ansehen;0;Not locked;03.02.2005 17:50;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;10.08.2005 14:57;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 13:23;Mostrar;Mostrar;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_head_reply;;S443;Answer to:;Answer to:;0;Not locked;24.01.2006 11:22;Antwort an:;Antwort an:;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Responder a:;Responder a:;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_voice_tag_reset;S117;;Reset;Reset;0;Not locked;24.01.2006 11:21;Zurücksetzen;Zurücksetzen;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Anular;Anular;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;;S601;S601;Audio mode;Audio mode;0;;;Audio Mode;Audio Mode;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Modo Audio;Modo Audio;0;;;;Auswahl;;;;;;;
1;;S602;S602;Audio mode:;Audio mode:;0;;;Audio Mode:;Audio Mode:;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Modo Audio:;Modo Audio:;0;;;;1_Zeile;;;;;;;
;qtn_stp_ta_note_caps_on;;S427;Switched to upper case;"Switched to
upper case";0;Not locked;24.01.2006 11:19;Auf Großbuchstaben umgeschaltet;"Auf
Großbuchstaben
umgeschaltet";0;Not locked;06.09.2004 16:22;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Minúsculas;Minúsculas;0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed
;qtn_stp_ta_note_caps_off;;S426;Switched to lower case;"Switched to
lower case";0;Not locked;24.01.2006 11:23;Auf Kleinbuchstaben umgeschaltet;"Auf
Kleinbuchstaben
umgeschaltet";0;Not locked;06.09.2004 16:22;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Cambiar a minúsculas;"Cambiar a
minúsculas";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed
;qtn_stp_ta_note_num_on;;S428;Switched to number entry;"Switched to
number entry";0;Not locked;24.01.2006 11:18;Auf Zifferneingabe umgeschaltet;"Auf
Zifferneingabe
umgeschaltet";0;Not locked;06.09.2004 16:22;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Cambiar a números;"Cambiar a
números";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed
;qtn_stp_ta_vcal_todo;;S99B;To-do;To-do;0;Not locked;24.01.2006 11:24;Aufgabe;Aufgabe;0;Not locked;16.03.2005 20:00;;EMPTY !;X;Not locked;16.03.2005 20:00;;EMPTY !;X;Not locked;16.03.2005 20:00;;EMPTY !;X;Not locked;16.03.2005 20:00;;EMPTY !;X;Not locked;16.03.2005 20:00;Tareas;Tareas;0;Not locked;16.03.2005 20:00;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_call_end;"S801; S802; 
S803; S812; S815; S813;
SC24";"S801; S802; S803; S812; S813; S815; SC24";End call;End call;0;Not locked;24.01.2006 11:23;Auflegen;Auflegen;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Colgar;Colgar;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;;S704;S704;Recordings;Recordings;0;;;Aufnahmen;Aufnahmen;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Grabaciones;Grabaciones;0;;;;1_Zeile;;;;;;;
;;S709;S709;Recording deleted;"Recording
deleted";0;;;Aufnahme\ngelöscht;"Aufnahme
gelöscht";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Grabación borrada;"Grabación
borrada";0;;;;2_Zeile;;;;;;;
;;;S711;Recording copied to mobile phone;"Recording copied
to mobile phone";0;;;Aufnahme\nauf Mobiltelefon\nkopiert;"Aufnahme
auf Mobiltelefon
kopiert";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;3_Zeile;;;;;;;
;;S713;S713;Recording stopped. Memory full.;"Recording
stopped.
Memory full.";0;;;Aufnahme\nbeendet.\nSpeicher\nvoll!;"Aufnahme
beendet.
Speicher
voll!";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Grabación finalizada. Memoria llena.;"Grabación
finalizada.
Memoria llena.";0;;;;4_Zeile;;;;;;;
;;S719;S719;Recording saved.;"Recording
saved.";0;;;Aufnahme\ngespeichert;"Aufnahme
gespeichert";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Grabación memorizada;"Grabación
memorizada";0;;;;2_Zeile;;;;;;;
;;S703;S703;Recording...;Recording...;0;;;Aufnahme\nläuft;"Aufnahme
läuft";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Grabando…;Grabando…;0;;;;2_Zeile;;;;;;;
;;S707;S707;Delete recording?;"Delete
recording?";0;;;Aufnahme\nlöschen?;"Aufnahme
löschen?";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;¿Borrar grabación?;"¿Borrar
grabación?";0;;;;2_Zeile;;;;;;;
1;qtn_stp_ta_tag_record;"S117; S702";"S117; S702";Record;Record;0;Not locked;24.01.2006 11:22;Aufnehmen;Aufnehmen;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Grabar;Grabar;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;;S101;S101;Recording;Recording;0;;;Aufzeichnung;Aufzeichnung;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Registro;Registro;0;;;;Auswahl;;;;;;;
;;S702;S702;Recording;Recording;0;;;Aufzeichnung;Aufzeichnung;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Registro;Registro;0;;;;1_Zeile;;;;;;;
